DIA,HORA,Agua Planta (Hl),Agua Elaboracion (Hl),Agua Bodega (Hl),Agua Cocina (Hl),Agua Dilucion (Hl),Agua Envasado (Hl),Agua Servicios (Hl),Planta de agua (Hl),Produccion (Hl),Red L1 y L2,FC L1 y L2,FC Lavadora L2,Red L3,FC Lavadora L3,Red Paste L4,FC Barriles
2021-07-01 00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 00:00:00,01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 00:00:00,02:00:00,490,28,28,0,0,0,462,487.2,28,0,0,0,0,0,0,0
2021-07-01 00:00:00,03:00:00,650,52,52,0,0,1,597,645.8,53,0,0,0,0,0,0,0.1
2021-07-01 00:00:00,04:00:00,880,75,75,0,0,1,804,873.5,76,0,0,0,0,0,0,0.1
2021-07-01 00:00:00,05:00:00,1100,100,100,0,0,1,999,1091,101,0,0,0,0,0,0,0.1
2021-07-01 00:00:00,06:00:00,1260,125,125,0,0,1,1134,1248.5,126,0,0,0,0,0,0,0.1
2021-07-01 00:00:00,07:00:00,1750,154,154,0,0,1,1595,1735.6,155,0,0,0,0,0,0,0.1
2021-07-01 00:00:00,08:00:00,1930,181,181,0,0,1,1748,1912.9,182,0,0,0,0,0,0,0.1
2021-07-01 00:00:00,09:00:00,2080,206,206,0,0,1,1873,2060.4,207,0,0,0,0,0,0,0.1
2021-07-01 00:00:00,10:00:00,2540,229,229,0,0,2,2309,2519.1,231,0,0,0,0.1,0,0,0.1
2021-07-01 00:00:00,11:00:00,2720,254,254,0,0,2,2464,2696.6,256,0,0,0,0.1,0,0,0.1
2021-07-01 00:00:00,12:00:00,3000,277,277,0,0,2,2721,2974.3,279,0,0,0,0.1,0,0,0.1
2021-07-01 00:00:00,13:00:00,3430,300,300,0,0,2,3128,3402,302,0,0,0,0.1,0,0,0.1
2021-07-01 00:00:00,14:00:00,3870,324,324,0,0,2,3544,3839.6,326,0,0,0,0.1,0,0,0.1
2021-07-01 00:00:00,15:00:00,4240,347,347,0,0,2,3891,4207.3,349,0,0,0,0.1,0,0,0.1
2021-07-01 00:00:00,16:00:00,4470,372,372,0,0,2,4096,4434.8,374,0,0,0,0.1,0,0,0.1
2021-07-01 00:00:00,17:00:00,4950,395,395,0,0,2,4553,4912.5,397,0,0,0,0.1,0,0,0.1
2021-07-01 00:00:00,18:00:00,5650,419,419,0,0,2,5229,5610.1,421,0,0,0,0.1,0,0,0.1
2021-07-01 00:00:00,19:00:00,6150,443,443,0,0,2,5705,6107.7,445,0,0,0,0.1,0,0,0.1
2021-07-01 00:00:00,20:00:00,6350,466,466,0,0,2,5882,6305.4,468,0,0,0,0.1,0,0,0.1
2021-07-01 00:00:00,21:00:00,6790,490,490,0,0,2,6298,6743,492,0,0,0,0.1,0,0,0.1
