DIA,HORA,Aire Producido (M3),Aire Planta (M3),Aire Elaboracion (m3),Aire Envasado (M3),Aire Servicios (M3),Tot Aire Expulsion,Totalizador_Aire_Bodega,Totalizador_Aire_Cocina,Totalizador_Aire_L2,Totalizador_Aire_L3,Totaliador_Aire_L4,Totalizador_Aire_L5
2021-07-01 00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 00:00:00,01:00:00,1328,0,0,0,1328,0,0,0,0,0,0,0
2021-07-01 00:00:00,02:00:00,2656,1127.62,1077.82,49.8,1528.38,0,834.53,243.29,44.45,0.12,0.22,5.01
2021-07-01 00:00:00,03:00:00,3984,2258.53,2158.36,100.17,1725.47,0,1670.98,487.38,89.2,0.37,0.26,10.34
2021-07-01 00:00:00,04:00:00,5312,3395.42,3241.72,153.7,1916.58,0,2509.87,731.85,135.95,0.49,1.85,15.41
2021-07-01 00:00:00,05:00:00,6640,4540.92,4331.04,209.88,2099.08,0,3353.66,977.38,183.37,0.61,5.34,20.56
2021-07-01 00:00:00,06:00:00,7968,5692.66,5426.91,265.75,2275.34,0,4202.67,1224.24,231.3,0.72,7.53,26.2
2021-07-01 00:00:00,07:00:00,9296,6847.06,6526.07,320.99,2448.94,0,5054.47,1471.6,279.73,0.84,8.86,31.56
2021-07-01 00:00:00,08:00:00,10624,7992.45,7616.4,376.05,2631.55,0,5897.74,1718.66,327.2,0.96,11.11,36.78
2021-07-01 00:00:00,09:00:00,11952,9122.95,8695.51,427.44,2829.05,0,6730.67,1964.84,373.02,1.08,11.59,41.75
2021-07-01 00:00:00,10:00:00,13280,10240.83,9763.1,477.73,3039.17,0,7553.47,2209.63,417.71,1.15,11.73,47.14
2021-07-01 00:00:00,11:00:00,14608,11341.45,10815.9,525.55,3266.55,0,8364.32,2451.58,459.49,1.17,11.75,53.14
2021-07-01 00:00:00,12:00:00,15936,12431.36,11859.96,571.4,3504.64,0,9168.38,2691.58,499.58,1.19,11.76,58.87
2021-07-01 00:00:00,13:00:00,17263,13511.74,12895.11,616.63,3751.26,0,9965.05,2930.06,539.17,1.24,11.76,64.46
2021-07-01 00:00:00,14:00:00,18591,14590.4,13930.12,660.28,4000.6,0,10761.86,3168.26,577.69,1.31,11.77,69.51
2021-07-01 00:00:00,15:00:00,19919,15666.42,14963.22,703.2,4252.58,0,11558.27,3404.95,616.64,1.37,11.77,73.42
2021-07-01 00:00:00,16:00:00,21247,16740.05,15993.33,746.72,4506.95,0,12353.48,3639.85,656.08,1.48,11.77,77.39
2021-07-01 00:00:00,17:00:00,22575,17818.58,17029.48,789.1,4756.42,0,13153.72,3875.76,694.08,1.6,11.77,81.65
2021-07-01 00:00:00,18:00:00,23903,18897.46,18066.68,830.78,5005.54,0,13955.07,4111.61,731.6,1.68,11.77,85.73
2021-07-01 00:00:00,19:00:00,25231,19976.41,19102.19,874.22,5254.59,0,14754.19,4348,770.92,1.78,11.78,89.74
2021-07-01 00:00:00,20:00:00,26559,21065.1,20147.4,917.7,5493.9,0,15561.68,4585.72,809.89,1.86,11.78,94.17
2021-07-01 00:00:00,21:00:00,27887,22160.12,21198.69,961.43,5726.88,0,16374.2,4824.49,848.9,1.95,11.79,98.79
2021-07-01 00:00:00,22:00:00,29215,23294.19,22253.41,1040.78,5920.81,0,17189.79,5063.62,922.23,2.48,11.81,104.26
2021-07-01 00:00:00,23:00:00,30543,24677.22,23321.1,1356.12,5865.78,0,18013.18,5307.92,1041.62,114.57,86.94,112.99
2021-07-01 00:00:00,23:59:00,31871,26192.02,24407.1,1784.92,5678.98,0,18849.59,5557.51,1186.95,308.1,167.41,122.46
2021-07-02 00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-02 00:00:00,01:00:00,2128,1650.29,1131.31,518.98,477.71,0,850.23,281.08,181.55,226.86,103.09,7.48
2021-07-02 00:00:00,02:00:00,4257,3365.11,2281.64,1083.47,891.89,0,1708.77,572.87,366.48,472.91,231.4,12.68
2021-07-02 00:00:00,03:00:00,6385,5128.24,3448.88,1679.36,1256.76,0,2579.34,869.54,548.72,747.83,366.38,16.43
