DIA,HORA,Planta (Kw),Elaboracion (Kw),Bodega (Kw),Cocina (Kw),Envasado (Kw),Linea 2 (Kw),Linea 3 (Kw),Linea 4 (Kw),Servicios (Kw),Sala Maq (Kw),Aire (Kw),Calderas (Kw),Efluentes (Kw),Frio (Kw),Pta Agua / Eflu (Kw),Prod Agua (Kw),Resto Serv (Kw),Restos Planta (Kw),KW Gral Planta
2021-07-01 00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 00:00:00,01:00:00,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,-168,0,0
2021-07-01 00:00:00,02:00:00,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,-336,0,0
2021-07-01 00:00:00,03:00:00,1421.53,134,170.75,5,12,38.71,22,0,1233,876,512,4,32,757,40,6,-208,42.53,1510
2021-07-01 00:00:00,04:00:00,2803.91,262.5,336.25,10,22,76.56,41,0,2434,1701,689,7,65,1480,83,15,-85,85.41,2978
2021-07-01 00:00:00,05:00:00,4177.41,390.62,497.62,16,34,114.06,62,0,3627.5,2538,866,23,100,2190,125,20,32.5,125.29,4441
2021-07-01 00:00:00,06:00:00,5557.91,519.5,663.5,21,45,149.78,83,0,4823,3387,1042,45,134,2898,167,26,151,170.41,5906
2021-07-01 00:00:00,07:00:00,6875.62,649.25,827.75,26,56,187.43,103,0,5958.5,4156,1221,70,169,3545,209,32,264.5,211.87,7310
2021-07-01 00:00:00,08:00:00,8090.03,775,986.5,30,64,222.62,123,0,7001.5,4863,1412,89,203,4107,250,38,370.5,249.53,8606
2021-07-01 00:00:00,09:00:00,9367.65,906.12,1152.87,33,71,260.05,143,0,8101.5,5636,1603,114,236,4735,294,47,480.5,289.03,9961
2021-07-01 00:00:00,10:00:00,10703,1054,1337.5,37,78,297.18,166,0,9238.5,6466,1786,136,268,5428,333,53,585.5,332.5,11379
2021-07-01 00:00:00,11:00:00,12066.17,1199.62,1521.87,41,85,337.82,189,0,10403,7300,1963,142,299,6164,370,58,694,378.55,12818
2021-07-01 00:00:00,12:00:00,13387.16,1340.12,1705.87,45,92,380.47,217,0,11525.5,8133,2139,155,332,6872,411,65,800.5,429.54,14219
2021-07-01 00:00:00,13:00:00,14535.15,1402.5,1813.25,49,99,427.15,245,0,12547,8911,2315,162,365,7537,455,74,916,486.65,15447
2021-07-01 00:00:00,14:00:00,15607.96,1449.75,1909,53,107,475.46,275,0,13501.5,9639,2492,165,400,8156,497,80,1020.5,549.71,16602
2021-07-01 00:00:00,15:00:00,16719.47,1493.5,2004.5,57,120,526.43,308,0,14495.5,10399,2669,180,434,8797,540,88,1127.5,610.47,17799
2021-07-01 00:00:00,16:00:00,17895.19,1538.75,2104.25,61,129,578.25,342,0,15549,11195,2847,203,467,9462,583,97,1235,678.44,19057
2021-07-01 00:00:00,17:00:00,19059.76,1608.37,2229.12,65,140,632.79,377,0,16561.5,11936,3024,227,501,10083,628,106,1343.5,749.89,20311
2021-07-01 00:00:00,18:00:00,20195.42,1661.25,2334.75,69,149,683.76,411,0,17572.5,12668,3201,251,534,10701,672,116,1457.5,812.67,21536
2021-07-01 00:00:00,19:00:00,21427.17,1717.87,2443.37,73,156,731.79,443,0,18675,13448,3379,276,567,11346,717,126,1569,878.3,22854
2021-07-01 00:00:00,20:00:00,22540.04,1761.37,2536.62,77,164,782.22,473,0,19668.5,14183,3556,301,603,11938,766,135,1679.5,946.17,24056
2021-07-01 00:00:00,21:00:00,23738.85,1847.37,2670.37,81,172,827.97,502,0,20717,14954,3733,313,636,12589,813,146,1797,1002.48,25341
2021-07-01 00:00:00,22:00:00,24855.99,1914.25,2782.25,86,181,873.24,528,0,21703.5,15655,3911,330,670,13174,860,156,1908.5,1057.24,26549
2021-07-01 00:00:00,23:00:00,25926.19,1958.87,2870.62,91,203,917.44,554,0,22663.5,16304,4088,355,703,13694,905,164,2082.5,1100.82,27716
2021-07-01 00:00:00,23:59:00,27637.27,2027.25,2968,98,594,1078.83,617,0,23848,17080,4265,391,741,14325,970,188,2241,1168.02,29529
2021-07-02 00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-02 00:00:00,01:00:00,33.94,2.13,2.63,0,9,4.07,3,4,18,16,242,1,0,13,0,0,-238,4.81,37
2021-07-02 00:00:00,02:00:00,2573.08,158.75,189.25,19,684,239.3,235,300,1615,1168,492,38,45,1011,82,34,-104,115.33,2678
2021-07-02 00:00:00,03:00:00,5344.92,347.75,404.25,45,1437,496.33,497,631,3320.5,2425,743,75,86,2106,160,68,46.5,239.67,5553
2021-07-02 00:00:00,04:00:00,8215.06,536.38,627.63,66,2242,774.22,776,983,5053,3662,994,111,122,3186,231,100,198,383.68,8526
2021-07-02 00:00:00,05:00:00,11055.05,737.75,859,88,3056,1043.86,1064,1340,6746,4817,1245,125,158,4225,306,136,379,515.3,11466
2021-07-02 00:00:00,06:00:00,13694.37,912.75,1067.5,95,3921,1322.75,1392,1703,8217.5,5722,1496,155,197,4998,385,173,584.5,643.12,14203
2021-07-02 00:00:00,07:00:00,16353.3,1096.13,1283.88,102,4769,1592.3,1711,2064,9721.5,6662,1747,195,239,5801,466,210,778.5,766.67,16969
2021-07-02 00:00:00,08:00:00,18930.96,1289.63,1509.63,108,5590,1848.46,2033,2409,11167.5,7540,1997,233,282,6573,548,246,959.5,883.83,19647
2021-07-02 00:00:00,09:00:00,21522.37,1488.13,1738.88,116,6351,2062.43,2335,2749,12690,8516,2247,270,324,7399,634,288,1145,993.24,22330
2021-07-02 00:00:00,10:00:00,15406.88,1694.5,1979.5,130,7102,2213.91,2648,3090,13217,9573,2498,306,364,8323,-8039,-750,1330,-6606.62,25061
2021-07-02 00:00:00,11:00:00,17706.8,1887.88,2197.13,156,7782,2268.55,2975,3440,14565.5,10345,2749,342,401,9025,-7967,-717,1492.5,-6528.58,27457
2021-07-02 00:00:00,12:00:00,20110.96,2127.88,2455.38,190,8460,2325.18,3297,3791,15971.5,11157,3012,377,436,9781,-7888,-676,1641.5,-6448.42,29964
2021-07-02 00:00:00,13:00:00,22833.88,2440.63,2779.63,233,9160,2381.6,3633,4143,17604,12239,3273,414,478,10742,-7803,-637,1803,-6370.75,32789
2021-07-02 00:00:00,14:00:00,25747.94,2689.75,3032.5,281,9861,2439.94,3957,4497,19503.5,13651,3536,454,514,11975,-7715,-590,1960.5,-6306.31,35807
2021-07-02 00:00:00,15:00:00,28578.33,2961.63,3318.88,327,10544,2497.05,4285,4844,21293.5,14941,3792,490,548,13097,-7632,-545,2115.5,-6220.8,38749
2021-07-02 00:00:00,16:00:00,31396.81,3248.5,3579.5,397,11207,2552.75,4599,5186,23090,16186,4045,526,581,14210,-7556,-506,2304,-6148.69,41676
