DIA,HORA,Conversion Kg/Mj,Gas Planta (Mj),Vapor Elaboracion (Kg),Vapor Cocina (Kg),Vapor Envasado (Kg),Vapor Servicio (Kg),ET Elaboracion (Mj),ET Envasado (Mj),ET Servicios (Mj),Tot_Vapor_L3_L4,VAPOR DE LINEA 1 Y 2 KG,VAPOR DE LINEA 4 KG,Vapor _Vapor_L5 (KG),Tot_Vapor_CIP_Bodega,Vapor L3
2021-07-01 00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 00:00:00,01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 00:00:00,02:00:00,7.944968439,4178.7356,235.17,20,75.62,215.17,1868.418228,600.7985133,1709.518859,0,0,1.82,73.8,215.17,0
2021-07-01 00:00:00,03:00:00,8.015048644,8370.676352,450.43,30,173.51,420.43,3610.218361,1390.69109,3369.766901,0,0,3.71,169.8,420.43,0
2021-07-01 00:00:00,04:00:00,7.823997213,12534.12178,694.18,50,263.65,644.18,5431.262386,2062.796865,5040.062525,0,0,5.68,257.97,644.18,0
2021-07-01 00:00:00,05:00:00,7.885467494,16741.0052,923.52,60,335.98,863.52,7282.38694,2649.359369,6809.258891,0,0,7.57,328.41,863.52,0
2021-07-01 00:00:00,06:00:00,7.996893335,20900.28058,1148.95,80,395.65,1068.95,9188.030597,3163.970848,8548.279131,0,0,9.29,386.36,1068.95,0
2021-07-01 00:00:00,07:00:00,8.192247704,26160.79613,1423.88,90,435.6,1333.88,11664.77766,3568.5431,10927.47537,0,0,11,424.6,1333.88,0
2021-07-01 00:00:00,08:00:00,8.485293388,31690.27978,1687.67,110,469.39,1577.67,14320.37509,3982.911864,13386.99282,0,0,12.82,456.57,1577.67,0
2021-07-01 00:00:00,09:00:00,8.663240972,36520.58538,1910.84,120,513.9,1790.84,16554.06738,4452.039535,15514.47846,0,0,14.71,499.19,1790.84,0
2021-07-01 00:00:00,10:00:00,8.774803104,41296.68035,2145.91,140,554.46,2005.91,18829.93773,4865.277329,17601.46529,0,0,16.65,537.81,2005.91,0
2021-07-01 00:00:00,11:00:00,8.886796036,46157.2188,2378.56,150,586.79,2228.56,21137.77758,5214.683046,19804.75817,0,0,18.68,568.11,2228.56,0
2021-07-01 00:00:00,12:00:00,8.973477075,51207.14693,2627.28,170,621.94,2457.28,23575.83685,5580.964332,22050.34575,0,0,20.83,601.11,2457.28,0
2021-07-01 00:00:00,13:00:00,9.043426451,57305.84213,2934.56,190,657.62,2744.56,26538.47753,5947.138103,24820.2265,0,0,23.06,634.56,2744.56,0
2021-07-01 00:00:00,14:00:00,9.467785915,66297.50813,3265.11,210,682.21,3055.11,30913.36247,6459.018229,28925.12743,0.01,0,25.32,656.88,3055.11,0
2021-07-01 00:00:00,15:00:00,9.482212034,72187.70093,3559.24,220,714.48,3339.24,33749.46836,6774.850854,31663.38171,0.01,0,27.67,686.8,3339.24,0
2021-07-01 00:00:00,16:00:00,9.358831557,77219.90635,3874.07,240,742.88,3634.07,36256.76857,6952.488787,34010.649,0.01,0,29.96,712.91,3634.07,0
2021-07-01 00:00:00,17:00:00,9.137698753,82236.8216,4239.93,260,779.87,3979.93,38743.20307,7126.217127,36367.4014,0.01,0,32.28,747.58,3979.93,0
2021-07-01 00:00:00,18:00:00,9.231776941,88246.55578,4510.56,270,807.88,4240.56,41640.4838,7458.167955,39147.90402,0.01,0,34.52,773.35,4240.56,0
2021-07-01 00:00:00,19:00:00,9.249111861,94364.7112,4828.72,300,845.13,4528.72,44661.37143,7816.701907,41886.63787,0.01,0,36.83,808.29,4528.72,0
2021-07-01 00:00:00,20:00:00,9.554015111,102898.3669,5107.91,320,874.35,4787.91,48801.04933,8353.553112,45743.76449,0.01,0,39.07,835.27,4787.91,0
2021-07-01 00:00:00,21:00:00,9.361491864,106894.6629,5434.31,350,899.93,5084.31,50873.24885,8424.687374,47596.7267,0.01,0,41.12,858.8,5084.31,0
2021-07-01 00:00:00,22:00:00,9.234139862,111829.2197,5776.86,370,926.69,5406.86,53344.3332,8557.185069,49927.70146,0.01,0,43.25,883.43,5406.86,0
2021-07-01 00:00:00,23:00:00,7.286624807,130044.6844,6172.26,430,5932.52,5742.26,44974.94283,43228.0474,41841.69417,2990.66,1450,579.88,911.98,5742.26,2410.78
2021-07-01 00:00:00,23:59:00,5.864763185,150775.7305,6779.44,470,12619.87,6309.44,39759.81013,74012.54897,37003.37143,8817.27,1450,1428.91,923.69,6309.44,7388.36
2021-07-02 00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-02 00:00:00,01:00:00,3.15201858,16388.98365,1314.27,460,3030.98,854.27,4142.603459,9553.705276,2692.674912,2273.5,0,744.28,13.2,854.27,1529.22
2021-07-02 00:00:00,02:00:00,3.09347329,34676.38165,2291.78,810,7435.97,1481.78,7089.560216,23002.97458,4583.846852,5379.76,0,2026.18,30.03,1481.78,3353.58
2021-07-02 00:00:00,03:00:00,2.792606303,53489.5532,3663.28,880,12707.43,2783.28,10230.09882,35486.84911,7772.605271,9198.45,0,3465.36,43.62,2783.28,5733.09
2021-07-02 00:00:00,04:00:00,2.634434298,69231.4844,4579.57,950,18070.31,3629.57,12064.57628,47605.04443,9561.863693,13114.79,0,4899.05,56.47,3629.57,8215.74
2021-07-02 00:00:00,05:00:00,2.664767166,89265.09,5363.04,1010,23782.19,4353.04,14291.2529,63373.99904,11599.83806,17425.64,0,6284.51,72.04,4353.04,11141.13
2021-07-02 00:00:00,06:00:00,2.835132506,113025.676,6019.19,1220,29047.72,4799.19,17065.20123,82354.1352,13606.33957,21476.21,0,7486.13,85.38,4799.19,13990.08
2021-07-02 00:00:00,07:00:00,2.799276275,129036.9228,6898.93,1270,33568.67,5628.93,19312.01107,93967.98152,15756.9302,24852.13,0,8619.66,96.88,5628.93,16232.47
2021-07-02 00:00:00,08:00:00,2.801297851,144318.4112,7424.27,1340,38009.87,6084.27,20797.59159,106476.9671,17043.85247,28284.44,0,9614.88,110.55,6084.27,18669.56
2021-07-02 00:00:00,09:00:00,2.765674319,161046.2112,8718.26,1740,42533.84,6978.26,24111.86779,117634.749,19299.59447,31623.01,0,10786.42,124.41,6978.26,20836.59
2021-07-02 00:00:00,10:00:00,2.733356177,177965.486,9792.59,2020,47543.6,7772.59,26766.63637,129953.5927,21245.25689,35482.58,0,11923.06,137.96,7772.59,23559.52
2021-07-02 00:00:00,11:00:00,2.696386428,194452.1183,11237.47,2640,52280.88,8597.47,30300.56159,140969.4553,23182.10142,38966.46,0,13165.11,149.31,8597.47,25801.35
2021-07-02 00:00:00,12:00:00,2.679034679,212750.6364,12600.59,3090,57301.99,9510.59,33757.41759,153514.0184,25479.20043,42783.61,0,14358.02,160.36,9510.59,28425.59
2021-07-02 00:00:00,13:00:00,2.678845381,238087.848,16747.72,6500,61881.6,10247.72,44864.55236,165771.2383,27452.05738,46092.73,0,15620.23,168.64,10247.72,30472.5
2021-07-02 00:00:00,14:00:00,2.697359688,261468.2647,19304.8,8470,66795.29,10834.8,52071.98931,180170.9226,29225.35275,49814.53,0,16803.98,176.78,10834.8,33010.55
2021-07-02 00:00:00,15:00:00,2.705766769,282479.399,21936.6,10670,71195.82,11266.6,59355.3233,192639.2838,30484.79188,52991.35,0,18020.24,184.23,11266.6,34971.11
2021-07-02 00:00:00,16:00:00,2.707626061,303701.1208,24146.88,12460,76331.33,11686.88,65380.72158,206676.6984,31643.70086,56998.57,0,19141.34,191.42,11686.88,37857.23
2021-07-02 00:00:00,17:00:00,2.7162427,325498.3092,26624.75,14680,81264.53,11944.75,72319.28283,220734.1864,32444.83999,60650.21,0,20416.02,198.3,11944.75,40234.19
2021-07-02 00:00:00,18:00:00,2.721775897,348407.5104,29862.93,17640,85921.56,12222.93,81280.20309,233859.231,33268.07627,64128.55,0,21587.96,205.05,12222.93,42540.59
2021-07-02 00:00:00,19:00:00,2.728940325,366966.309,31329.42,18830,90643.25,12499.42,85496.11761,247360.0201,34110.17128,67660.35,0,22770.2,212.7,12499.42,44890.15
2021-07-02 00:00:00,20:00:01,2.734510323,390559.7456,34706.13,21930,95343.95,12776.13,94904.27075,260719.0155,34936.45937,71202.32,0,23919.92,221.71,12776.13,47282.4
2021-07-02 00:00:00,21:00:00,2.72863594,406249.5512,36322.58,23240,99478.59,13082.58,99111.09724,271440.856,35697.59798,74131.05,0,25113.96,233.58,13082.58,49017.09
2021-07-02 00:00:00,22:00:00,2.73036794,429015.2332,39686.07,26240,103995.12,13446.07,108357.5732,283944.9416,36712.71845,77676.03,0,26073.39,245.7,13446.07,51602.64
2021-07-02 00:00:00,23:00:00,2.721161858,444331.472,41240.28,27460,108266.85,13780.28,112221.477,294611.6227,37498.37233,81159.31,0,26849.08,258.46,13780.28,54310.23
2021-07-02 00:00:00,23:59:00,2.705482497,469499.4492,45103.22,30740,114069.87,14363.22,122025.9723,308614.0367,38859.44031,85530.38,0,28268.74,270.75,14363.22,57261.64
2021-07-03 00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-03 00:00:00,01:00:00,2.097081786,17616.36778,1833.25,820,5553.92,1013.25,3844.475184,11647.02447,2124.86812,4072.22,0,1468.66,13.04,1013.25,2603.56
2021-07-03 00:00:00,02:00:00,2.109136929,32739.39435,2376.51,900,11669.63,1476.51,5012.385003,24612.84758,3114.161767,8652.81,0,2990.18,26.64,1476.51,5662.63
2021-07-03 00:00:00,03:00:00,2.117361441,48889.64275,3661.23,980,16747.43,2681.23,7752.147227,35460.36251,5677.133015,12411.05,0,4295.74,40.64,2681.23,8115.31
2021-07-03 00:00:00,04:00:00,2.091070507,64833.47378,4409.9,1050,23235.12,3359.9,9221.411828,48586.27415,7025.787796,17353.85,0,5825.83,55.44,3359.9,11528.02
2021-07-03 00:00:00,05:00:00,2.107825897,80840.20302,5237.95,1380,29256.51,3857.95,11040.68666,61667.62944,8131.886921,21849.76,0,7337.07,69.68,3857.95,14512.69
2021-07-03 00:00:00,06:00:00,2.099733466,98130.95955,6254.22,1810,36036.52,4444.22,13132.19504,75667.08705,9331.677465,26921.05,0,9030.8,84.67,4444.22,17890.25
2021-07-03 00:00:00,07:00:00,2.13702642,122097.6154,9454.42,4570,42795.51,4884.42,20204.34532,91455.13552,10438.13459,31962.73,0,10732.55,100.23,4884.42,21230.18
2021-07-03 00:00:00,08:00:00,2.17508976,143910.094,11570.62,6280,49301.59,5290.62,25167.13707,107235.3835,11507.57338,36867.46,0,12319.39,114.74,5290.62,24548.07
2021-07-03 00:00:00,09:00:00,2.198446617,167175.4868,14437.06,8580,55748.43,5857.06,31739.10572,122559.9473,12876.43374,41721.8,0,13898.82,127.81,5857.06,27822.98
2021-07-03 00:00:00,10:00:00,2.223211931,191296.782,17388.66,11040,62307.91,6348.66,38658.67638,138523.6889,14114.41666,46714.65,0,15453.22,140.04,6348.66,31261.43
2021-07-03 00:00:00,11:00:00,2.256203119,219120.7322,20852.54,14010,69424.16,6842.54,47047.56579,156635.0063,15438.16009,52124.07,0,17148.76,151.33,6842.54,34975.31
2021-07-03 00:00:00,12:00:00,2.274250793,242319.0568,23030.25,15740,76228.46,7290.25,52376.56432,173362.6356,16579.85684,57347.54,0,18719.59,161.33,7290.25,38627.95
2021-07-03 00:00:00,13:00:00,2.307363374,267256.6388,26189.22,18380,81829.28,7809.22,60428.04702,188809.8836,18018.70821,61627.29,0,20032.35,169.64,7809.22,41594.94
2021-07-03 00:00:00,14:00:00,2.304076375,287720.4544,28347.86,20030,88208.81,8317.86,65315.63449,203239.8351,19164.98471,66437.71,0,21593.68,177.42,8317.86,44844.03
2021-07-03 00:00:00,15:00:00,2.312758208,313379.1072,32218.78,22970,94032.6,9248.78,74514.24789,217474.6675,21390.19186,70793.48,0,23053.51,185.61,9248.78,47739.97
2021-07-03 00:00:00,16:00:00,2.325187417,338282.2864,35377.13,25360,100091.77,10017.13,82258.45754,232732.1242,23291.70463,75337.58,0,24559.95,194.24,10017.13,50777.63
2021-07-03 00:00:00,17:00:00,2.348023005,362349.0234,38240.82,27700,105539.26,10540.82,89790.3251,247808.6104,24750.08785,79440.69,0,25896.32,202.25,10540.82,53544.37
2021-07-03 00:00:00,18:00:00,2.380531843,388109.8424,41228.82,30240,110817.29,10988.82,98146.51886,263804.0876,26159.23593,83260.94,0,27346.12,210.23,10988.82,55914.82
2021-07-03 00:00:00,19:00:00,2.433899879,417821.4344,43953.29,32460,116220.89,11493.29,106977.9072,282870.0101,27973.51714,87275.13,0,28727.01,218.75,11493.29,58548.12
2021-07-03 00:00:00,20:00:00,2.448036452,448640.8692,47981.52,35950,123252.56,12031.52,117460.51,301726.7597,29453.59953,92541.99,0,30473.14,237.43,12031.52,62068.85
2021-07-03 00:00:00,21:00:00,2.463125769,473580.5362,51206.36,38660,128515.39,12546.36,126127.7048,316549.5688,30903.26262,96425.19,0,31831.39,258.81,12546.36,64593.8
2021-07-03 00:00:00,22:00:01,2.475834415,494398.4584,54053.49,41000,132582.65,13053.49,133827.4908,328252.6878,32318.27978,99270.91,0,33041,270.74,13053.49,66229.91
2021-07-03 00:00:00,23:00:00,2.490138022,518358.8592,56556.33,42750,137802.05,13806.33,140833.0677,343146.1242,34379.66727,102413.19,1240,33859.87,288.99,13806.33,68553.32
2021-07-03 00:00:00,23:59:00,2.505078581,548270.266,61087.32,46380,143068.86,14707.32,153028.5369,358398.7368,36842.99231,106248.73,1240,35280.45,299.68,14707.32,70968.28
2021-07-04 00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-04 00:00:00,01:00:00,2.784079847,22457.446,2498.8,1750,4818.78,748.8,6956.858723,13415.86829,2084.71899,3596.45,0,1212.03,10.3,748.8,2384.42
2021-07-04 00:00:00,02:00:00,2.794604917,51349.97107,6374.14,4820,10446.4,1554.14,17813.20298,29193.5608,4343.207285,7760.9,0,2665.09,20.41,1554.14,5095.81
2021-07-04 00:00:00,03:00:00,2.790575527,76140.21142,9294.88,7230,15925.01,2064.88,25938.06466,44439.94317,5762.203594,11826.59,0,4067.79,30.63,2064.88,7758.8
2021-07-04 00:00:00,04:00:00,2.841940836,103102.0043,12939.46,10340,20739.81,2599.46,36773.17977,58941.31297,7387.511526,15470.92,0,5227.6,41.29,2599.46,10243.32
2021-07-04 00:00:00,05:00:00,2.816202886,123945.9892,15059.01,11880,25773.72,3179.01,42409.22742,72584.02464,8952.737136,19274.85,0,6442.06,56.81,3179.01,12832.79
2021-07-04 00:00:00,06:00:00,2.78982416,150369.1508,18774.7,14720,31069.75,4054.7,52378.11165,86679.13918,11311.90002,23306.23,0,7695.42,68.1,4054.7,15610.81
2021-07-04 00:00:00,07:00:00,2.836297698,183138.778,23551.89,18380,35845.88,5171.89,66800.1714,101669.5869,14669.0197,26538.89,0,8978.07,328.92,5171.89,17560.82
2021-07-04 00:00:00,08:00:00,2.815055582,207518.2687,26828.67,20930,40989.95,5898.67,75524.19723,115388.9875,16605.08391,30094.15,0,10283.57,612.23,5898.67,19810.58
2021-07-04 00:00:00,09:00:00,2.86604163,240733.396,30872.07,24420,46670.94,6452.07,88480.63783,133760.857,18491.90122,34226.37,0,11617.48,827.09,6452.07,22608.89
2021-07-04 00:00:00,10:00:00,2.835616661,260784.3768,33002.95,25960,51921.53,7042.95,93583.71489,147229.5555,19971.10636,38012.39,0,12876.61,1032.53,7042.95,25135.78
2021-07-04 00:00:00,11:00:00,2.815168065,292011.7812,37913.21,30130,58031.59,7783.21,106732.0581,163368.679,21911.04424,42383,0,14351.49,1297.1,7783.21,28031.51
2021-07-04 00:00:00,12:00:01,2.8088685,312688.2692,39761.44,31130,62928.91,8631.44,111684.6563,176759.033,24244.57992,46031.17,0,15461.01,1436.73,8631.44,30570.16
2021-07-04 00:00:00,13:00:00,2.820658649,340905.594,43413.03,34010,68044.22,9403.03,122453.3385,191929.5176,26522.73789,49626,0,16764.94,1653.28,9403.03,32861.06
2021-07-04 00:00:00,14:00:00,2.832996027,367511.5428,45971.69,35780,73562.02,10191.69,130237.6151,208400.9104,28873.01728,53660.28,0,17949.88,1951.86,10191.69,35710.4
2021-07-04 00:00:00,15:00:00,2.835383332,396727.9416,50222.63,38870,78345.13,11352.63,142400.408,222138.4757,32189.05788,57363.75,0,18844.92,2136.46,11352.63,38518.83
2021-07-04 00:00:00,16:00:00,2.838195727,427794.7992,54460.69,42380,84186.35,12080.69,154570.0976,238937.3388,34287.36274,61735.9,0,20069.33,2381.12,12080.69,41666.57
2021-07-04 00:00:00,17:00:00,2.848198074,455534.306,58146.77,45130,88774.18,13016.77,165613.5183,252846.4485,37074.33924,64899.46,0,21268.93,2605.79,13016.77,43630.53
2021-07-04 00:00:00,18:00:00,2.864987343,484581.1228,61447.69,47950,94193.63,13497.69,176046.8541,269863.5577,38670.71101,68767.34,0,22611.63,2814.66,13497.69,46155.71
2021-07-04 00:00:00,19:00:00,2.865912666,514158.2308,64892.87,50890,100508.97,14002.87,185977.2981,288049.9302,40131.0025,73366.03,0,24104.56,3038.38,14002.87,49261.47
2021-07-04 00:00:00,20:00:00,2.871281743,541445.9824,67976.87,53490,106109.18,14486.87,195180.7458,304669.3513,41595.88534,77362.68,0,25493.57,3252.93,14486.87,51869.11
2021-07-04 00:00:00,21:00:00,2.864735991,566674.7728,71231.91,56190,111536.65,15041.91,204060.6163,319523.0556,43091.10095,81359.59,0,26715.15,3461.91,15041.91,54644.44
2021-07-04 00:00:00,22:00:00,2.869914417,597003.1844,75751.93,60210,116727.39,15541.93,217401.556,334997.6194,44604.00897,85316.93,0,27736,3674.46,15541.93,57580.93
2021-07-04 00:00:00,23:00:00,2.882424397,614682.4504,77508,61480,119715.89,16028,223410.9501,345072.002,46199.49823,87363.5,0,28528.51,3823.88,16028,58834.99
2021-07-04 00:00:00,23:59:00,2.868745212,635538.9455,80588.95,64050,124411.1,16538.95,231189.1644,356903.7474,47446.03362,90628.84,0,29736.15,4046.11,16538.95,60892.69
2021-07-05 00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-05 00:00:00,01:00:00,2.81986758,24597.02813,3671.16,3230,4610.44,441.16,10352.18506,13000.83028,1244.012781,3196.09,0,1195.16,219.19,441.16,2000.93
2021-07-05 00:00:00,02:00:00,2.905149642,51267.96013,7251.19,6310,9454.89,941.19,21065.79203,27467.8703,2734.297792,6661.62,0,2350.24,443.03,941.19,4311.38
2021-07-05 00:00:00,03:00:00,2.885303211,73347.32178,9550.85,8190,14509.31,1360.85,27557.09817,41863.75873,3926.464874,10428.5,0,3504.01,576.8,1360.85,6924.49
2021-07-05 00:00:00,04:00:00,2.866208265,99173.47155,12968.24,11140,19804.45,1828.24,37169.67667,56763.67828,5240.116599,14360.62,0,4647.54,796.29,1828.24,9713.08
2021-07-05 00:00:00,05:00:00,2.844846303,117402.1414,14185.8,11880,24776.76,2305.8,40356.42068,70486.07409,6559.646605,17951.31,0,5813.06,1012.39,2305.8,12138.25
2021-07-05 00:00:00,06:00:00,2.837637489,140361.3832,16785.26,14060,29953.65,2725.26,47630.48304,84997.60017,7733.299943,21730.69,0,7051.86,1171.1,2725.26,14678.83
2021-07-05 00:00:00,07:00:00,2.835910579,162160.6566,19408,16340,34705.16,3068,55039.35252,98420.7304,8700.573657,24779.47,0,8557.84,1367.85,3068,16221.63
2021-07-05 00:00:00,08:00:00,2.856577192,188119.2054,23214.04,19160,38586.68,4054.04,66312.69719,110225.83,11580.6782,27139.81,0,9882.48,1564.39,4054.04,17257.33
2021-07-05 00:00:00,09:00:00,2.861687212,206156.748,25812.99,21160,41574.3,4652.99,73868.70338,118972.6426,13315.40198,28568.78,0,11195.43,1810.09,4652.99,17373.35
2021-07-05 00:00:00,10:00:00,2.87721645,236761.0778,29686.21,24280,47195.82,5406.21,85413.65175,135792.5897,15554.83634,32534.66,60,12563.34,2037.82,5406.21,19971.32
2021-07-05 00:00:00,11:00:00,2.854748119,264196.5186,33311.2,26850,52773.95,6461.2,95095.08554,150656.3345,18445.09855,36519.62,60,13973.38,2220.95,6461.2,22546.24
2021-07-05 00:00:00,12:00:00,2.865088708,290936.9514,36576.85,29140,57531.83,7436.85,104795.9199,164833.7965,21307.23496,39617.59,60,15381.81,2472.43,7436.85,24235.78
2021-07-05 00:00:00,13:00:00,2.882202364,313437.8354,39702.83,31990,61333.76,7712.83,114431.5905,176776.308,22229.93686,41831.87,60,16781.13,2660.76,7712.83,25050.74
