DIA,HORA,Agua Planta (Hl),Agua Elaboracion (Hl),Agua Bodega (Hl),Agua Cocina (Hl),Agua Dilucion (Hl),Agua Envasado (Hl),Agua Servicios (Hl),Planta de agua (Hl),Produccion (Hl),Red L1 y L2,FC L1 y L2,FC Lavadora L2,Red L3,FC Lavadora L3,Red Paste L4,FC Barriles
2022-07-01 00:00:00,02:00:00,466,43,43,0,0,26,397,487.7,69,0,0,0,2.5,0,0,0.1
2022-07-01 00:00:00,03:00:00,915,86,86,0,0,52,777,958.4,138,0,0,0,5.1,0,0,0.1
2022-07-01 00:00:00,04:00:00,1364,128,128,0,0,78,1158,1429.2,206,0,0,0,7.7,0,0,0.1
2022-07-01 00:00:00,05:00:01,1986,170,170,0,0,103,1713,2072,273,0,0,0,10.2,0,0,0.1
2022-07-01 00:00:00,06:00:01,2432,213,213,0,0,129,2090,2539.7,342,0,0,0,12.8,0,0,0.1
2022-07-01 00:00:00,07:00:00,2888,256,256,0,0,155,2477,3017.4,411,0,0,0,15.4,0,0,0.1
2022-07-01 00:00:00,08:00:00,3343,299,299,0,0,181,2863,3494.1,480,0,0,0,18,0,0,0.1
2022-07-01 00:00:00,09:00:01,3797,342,342,0,0,206,3249,3968.8,548,0,0,0,20.5,0,0,0.1
2022-07-01 00:00:00,10:00:00,4254,385,385,0,0,232,3637,4447.5,617,0,0,0,23.1,0,0,0.1
2022-07-01 00:00:00,11:00:00,4933,427,427,0,0,257,4249,5147.3,684,0,0,0,25.6,0,0,0.1
2022-07-01 00:00:00,12:00:00,5411,470,470,0,0,328,4613,5692,798,4.5,0,0,28.2,0,0,0.1
2022-07-01 00:00:00,13:00:00,5862,513,513,0,0,354,4995,6164.7,867,4.5,0,0,30.8,0,0,0.1
2022-07-01 00:00:00,14:00:00,6273,556,556,0,0,379,5338,6596.4,935,4.5,0,0,33.3,0,0,0.1
2022-07-01 00:00:00,15:00:00,6707,598,598,0,0,405,5704,7052.2,1003,4.5,0,0,35.9,0,0,0.1
2022-07-01 00:00:00,16:00:00,7394,636,636,0,0,428,6330,7758.4,1064,4.5,0,0,38.2,0,0,0.1
