DIA,HORA,Aire Producido (M3),Aire Planta (M3),Aire Elaboracion (m3),Aire Envasado (M3),Aire Servicios (M3),Tot Aire Expulsion,Totalizador_Aire_Bodega,Totalizador_Aire_Cocina,Totalizador_Aire_L2,Totalizador_Aire_L3,Totaliador_Aire_L4,Totalizador_Aire_L5
2022-07-01 00:00:00,02:00:00,54517,39049,22361.05,16687.95,15468,0,17523.48,4837.57,6440.43,4903.54,3200.9,2143.08
2022-07-01 00:00:00,03:00:00,55649,39950.32,23053.16,16897.16,15698.68,0,18048.57,5004.59,6529.94,4950.46,3273.15,2143.61
2022-07-01 00:00:00,04:00:00,56882,40870.42,23759.91,17110.51,16011.58,0,18584.67,5175.24,6620.61,4997.8,3345.37,2146.73
2022-07-01 00:00:00,05:00:01,58115,41788.05,24463,17325.05,16326.95,0,19118.36,5344.64,6712.13,5045.33,3417.79,2149.8
2022-07-01 00:00:00,06:00:01,59356,42714.14,25172.39,17541.75,16641.86,0,19657.22,5515.17,6805.28,5093.2,3490.21,2153.06
2022-07-01 00:00:00,07:00:00,60606,43646,25883.08,17762.92,16960,0,20196.42,5686.66,6902.12,5141.35,3562.89,2156.56
2022-07-01 00:00:00,08:00:00,61731,44547.08,26576.97,17970.11,17183.92,0,20722.81,5854.16,6989.81,5188.19,3634.99,2157.12
2022-07-01 00:00:00,09:00:01,62843,45431.19,27256.74,18174.45,17411.81,0,21236.63,6020.11,7075.45,5234.54,3707.34,2157.12
2022-07-01 00:00:00,10:00:00,63955,46303.99,27928.05,18375.94,17651.01,0,21742.69,6185.36,7159.84,5279.75,3779.23,2157.12
2022-07-01 00:00:00,11:00:00,65066,47175.29,28599.03,18576.26,17890.71,0,22248.49,6350.54,7243.83,5324.56,3850.75,2157.12
2022-07-01 00:00:00,12:00:00,66198,48071.52,29287.92,18783.6,18126.48,0,22769.97,6517.95,7330.94,5371.66,3922.93,2158.07
2022-07-01 00:00:00,13:00:00,67402,49034.33,30024.3,19010.03,18367.67,0,23331.87,6692.43,7431.4,5421.55,3995.33,2161.75
2022-07-01 00:00:00,14:00:00,68622,50006.54,30767.97,19238.57,18615.46,0,23899.56,6868.41,7533.61,5472.67,4067.69,2164.6
2022-07-01 00:00:00,15:00:00,69832,50963.09,31499.61,19463.48,18868.91,0,24456.71,7042.9,7634.05,5522.47,4139.57,2167.39
2022-07-01 00:00:00,16:00:00,71038,51917.31,32229.72,19687.59,19120.69,0,25012.6,7217.12,7734.16,5571.91,4211.26,2170.26
2022-07-01 00:00:00,17:00:00,72228,52866.05,32955.43,19910.62,19361.95,0,25565.25,7390.18,7833.08,5621.06,4282.59,2173.89
2022-07-01 00:00:00,18:00:00,73439,53826.95,33690.84,20136.11,19612.05,0,26125.78,7565.06,7934.16,5670.99,4354.27,2176.69
2022-07-01 00:00:00,19:00:00,74653,54790.84,34426.53,20364.31,19862.16,0,26686.29,7740.24,8036.24,5721.7,4426.44,2179.93
2022-07-01 00:00:00,20:00:00,75868,55757.79,35165.85,20591.94,20110.21,0,27250.27,7915.58,8138.31,5772.31,4498.52,2182.8
2022-07-01 00:00:00,21:00:00,77081,56727.44,35907.59,20819.85,20353.56,0,27816.73,8090.86,8240.79,5822.85,4570.57,2185.64
2022-07-01 00:00:00,22:00:00,78302,57702.12,36652.21,21050.08,20599.71,0.17,28384.42,8267.62,8344.46,5874.12,4642.97,2188.53
2022-07-01 00:00:00,23:00:00,79623,58775.76,37442.73,21333.2,20847.07,0.17,28969.45,8473.11,8447.87,5954.15,4737.72,2193.46
2022-07-01 00:00:00,23:59:00,80992,59860.38,38238.48,21626.3,21127.22,4.4,29558.3,8675.78,8549.03,6042.22,4835.84,2199.21
2022-07-02 00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-02 00:00:00,01:00:00,1617,1340.94,1029.23,311.71,276.06,0,822.88,206.35,103.15,100.3,99.82,8.44
2022-07-02 00:00:00,02:00:00,3292,2732,2055.35,676.65,560,0,1642.1,413.25,207.34,251.78,200.93,16.6
2022-07-02 00:00:00,03:00:00,5026,4178.13,3077.91,1100.23,847.86,0.01,2448.07,629.83,314.85,466.58,294.12,24.68
2022-07-02 00:00:00,04:00:00,6625,5486.02,3880.89,1605.14,1138.97,0.01,3025.72,855.16,424.21,731.3,416.69,32.94
2022-07-02 00:00:00,05:00:00,8412,6929.11,4769.95,2159.17,1482.88,0.01,3670.12,1099.82,534.73,1038.29,547.04,39.11
2022-07-02 00:00:00,06:00:01,10219,8387.35,5684.02,2703.34,1831.64,0.01,4345.14,1338.87,645.14,1339.98,673.74,44.48
2022-07-02 00:00:00,07:00:00,12108,9773.78,6554.47,3231.48,2322.05,12.17,4950.01,1592.29,755.23,1619.25,805.37,51.63
2022-07-02 00:00:00,08:00:01,14063,11183.36,7424.96,3793.64,2844.4,35.24,5543.92,1845.8,865.84,1923.76,945.73,58.31
2022-07-02 00:00:00,09:00:01,16348,12773.63,8465.45,4382.18,3500.37,74,6302.73,2088.72,983.3,2241,1094.35,63.53
2022-07-02 00:00:00,10:00:01,18517,14278.65,9402.02,4989.89,4125.09,113.26,6962.14,2326.62,1123.12,2553.33,1248.15,65.29
2022-07-02 00:00:00,11:00:00,20683,15808.12,10339.8,5613.53,4729.67,145.21,7622.33,2572.26,1260,2884.39,1402.34,66.8
2022-07-02 00:00:00,12:00:00,22780,17299.46,11261.28,6205.67,5313.05,167.49,8271.72,2822.07,1385.53,3196.61,1555.62,67.91
2022-07-02 00:00:00,13:00:00,25016,18769.84,12203.55,6772.71,6039.74,206.42,8937.8,3059.33,1496.56,3494.09,1711.68,70.38
2022-07-02 00:00:00,14:00:00,27337,20324.23,13245.51,7324.33,6767.16,245.61,9712.37,3287.53,1605.61,3787.91,1857.16,73.65
2022-07-02 00:00:00,15:00:00,29531,21754.28,14140.76,7898.55,7491.69,285.03,10331.77,3523.96,1713.68,4100.37,2009.2,75.3
2022-07-02 00:00:00,16:00:00,31711,23173.69,15041.35,8456.28,8213.37,323.94,10962.29,3755.12,1822.38,4402.63,2153.87,77.4
2022-07-02 00:00:00,17:00:00,33791,24542.31,15865.92,9039.56,8885.52,363.17,11513.08,3989.67,1928.97,4721.64,2307.78,81.17
2022-07-02 00:00:00,18:00:00,35990,26019.99,16808.82,9613.46,9567.72,402.29,12205.89,4200.64,2036.73,5030.69,2461.07,84.97
2022-07-02 00:00:00,19:00:00,38031,27371.52,17710.76,10102.34,10217.9,441.58,12829.26,4439.92,2144.55,5257.81,2610.07,89.91
2022-07-02 00:00:00,20:00:01,40175,28838.89,18632.41,10687.12,10855.47,480.64,13475.85,4675.92,2261.38,5571.21,2760.54,93.99
2022-07-02 00:00:00,21:00:00,42297,30251.43,19502.82,11268.78,11525.4,520.17,14069.06,4913.59,2381.86,5877.64,2912.23,97.05
2022-07-02 00:00:00,22:00:00,44332,31582.72,20325.42,11816.62,12189.96,559.32,14627.56,5138.54,2505.6,6149.5,3059.71,101.81
2022-07-02 00:00:00,23:00:00,46453,33025.13,21131.46,12492.98,12828.56,599.31,15162.72,5369.43,2713.71,6460.42,3213.93,104.92
