DIA,HORA,Planta (Kw),Elaboracion (Kw),Bodega (Kw),Cocina (Kw),Envasado (Kw),Linea 2 (Kw),Linea 3 (Kw),Linea 4 (Kw),Servicios (Kw),Sala Maq (Kw),Aire (Kw),Calderas (Kw),Efluentes (Kw),Frio (Kw),Pta Agua / Eflu (Kw),Prod Agua (Kw),Resto Serv (Kw),Restos Planta (Kw),KW Gral Planta
2022-07-01 00:00:00,02:00:00,1368.76,46,101.5,7,12,30.01,42,0,1252,813,143,6,21,787,41,17,161,58.76,1476
2022-07-01 00:00:00,03:00:00,2765.64,93,203.5,13,26,59.64,84,0,2531,1653,284,14,42,1602,84,36,324,115.64,2980
2022-07-01 00:00:00,04:00:00,4124.46,141,306,20,38,89.21,124,0,3779.5,2534,449,21,64,2365,126,53,491.5,165.96,4450
2022-07-01 00:00:00,05:00:01,5419.31,182.5,401.5,26,50,117.81,164,0,4970.5,3362,614,28,83,3117,166,71,656.5,216.31,5860
2022-07-01 00:00:00,06:00:01,6673.19,228,499,33,62,146.19,202,0,6124.5,4240,779,37,104,3872,206,87,826.5,258.69,7225
2022-07-01 00:00:00,07:00:00,7896.95,270.5,592.5,39,72,174.95,242,0,7241,5081,946,48,125,4608,246,103,975,313.45,8555
2022-07-01 00:00:00,08:00:00,9102.68,311.5,686.5,44,81,204.93,284,0,8344,5854,1083,59,148,5357,289,120,1123,366.18,9857
2022-07-01 00:00:00,09:00:01,10317.23,355,785.5,50,89,236.23,327,0,9457.5,6635,1208,70,168,6118,328,136,1285.5,415.73,11175
2022-07-01 00:00:00,10:00:00,11594.84,397,886.5,55,97,269.59,371,0,10632.5,7475,1334,80,188,6939,367,152,1450.5,468.34,12564
2022-07-01 00:00:00,11:00:00,12823.21,440.5,988,61,105,303.96,415,0,11757.5,8243,1461,86,210,7691,411,171,1618.5,520.21,13908
2022-07-01 00:00:00,12:00:00,14267.03,481,1086.5,66,114,333.53,457,0,13094,9098,1594,98,232,8525,453,188,1774,578.03,15454
2022-07-01 00:00:00,13:00:00,15594.88,520.5,1175,71,124,358.63,495,0,14324,9874,1757,108,256,9278,498,206,1924,626.38,16879
2022-07-01 00:00:00,14:00:00,16906.03,558,1260,76,132,381.78,532,0,15551.5,10658,1915,119,277,10027,537,222,2088.5,664.53,18286
2022-07-01 00:00:00,15:00:00,18093.24,597,1347.5,81,140,406.74,569,0,16655.5,11317,2073,129,297,10654,576,238,2254.5,700.74,19573
2022-07-01 00:00:00,16:00:00,19254.36,634.5,1433.5,86,148,432.61,606,0,17732.5,11938,2230,140,316,11245,617,258,2422.5,739.36,20831
2022-07-01 00:00:00,17:00:00,20427.57,673,1520,91,156,458.32,643,0,18816,12562,2388,148,335,11847,658,277,2589,782.57,22096
2022-07-01 00:00:00,18:00:00,21589.69,710.5,1607,96,165,483.94,679,0,19889,13189,2548,158,357,12444,700,295,2752,825.19,23353
2022-07-01 00:00:00,19:00:00,22716.75,751,1695.5,101,176,507.25,717,0,20924,13819,2707,170,379,13043,745,315,2915,865.75,24580
2022-07-01 00:00:00,20:00:00,23828.87,791,1784,106,184,532.12,754,0,21955.5,14480,2867,181,401,13647,789,334,3092.5,898.37,25801
2022-07-01 00:00:00,21:00:00,24948.96,831.5,1876,111,195,557.21,790,0,22984,15117,3026,195,422,14251,830,352,3267,938.46,27026
2022-07-01 00:00:00,22:00:00,26085.99,885,1978,119,210,581.99,830,0,24009,15750,3186,208,446,14845,881,376,3438,981.99,28271
2022-07-01 00:00:00,23:00:00,27803.2,1024.5,2135,142,495,607.7,885,0,25260.5,16488,3358,224,476,15559,950,412,3609.5,1023.2,30101
2022-07-01 00:00:00,23:59:00,29730.65,1224,2342.5,175,793,633.4,939,0,26648,17371,3534,246,508,16411,1025,453,3785,1065.65,32143
2022-07-02 00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-02 00:00:00,01:00:00,2043.21,209,220.5,31,312,29.96,60,252,1479.5,938,199,32,32,898,60,25,194.5,42.71,2170
2022-07-02 00:00:00,02:00:00,4251.54,463,484.5,62,631,58.79,134,497,3074,1824,403,62,61,1745,110,44,568,83.54,4500
2022-07-02 00:00:00,03:00:00,6499.69,773.5,817.5,95,1018,88.69,257,761,4569.5,2830,611,88,94,2717,158,57,759.5,138.69,6869
2022-07-02 00:00:00,04:00:00,8124.08,1037,1081,138,1558,117.08,497,1061,5339,3133,809,117,126,2982,216,80,922,190.08,8609
2022-07-02 00:00:00,05:00:00,9493.44,1274,1330,183,2130,146.69,781,1349,5838,3174,1022,147,158,2985,271,101,1083,251.44,10093
2022-07-02 00:00:00,06:00:01,10802.71,1476.5,1533.5,235,2679,175.71,1059,1620,6345.5,3215,1238,179,195,2985,332,123,1249.5,301.71,11525
2022-07-02 00:00:00,07:00:00,12208.98,1683.5,1717.5,299,3268,204.23,1354,1914,6912.5,3329,1466,206,228,3045,388,144,1410.5,344.98,13053
2022-07-02 00:00:00,08:00:01,13720.1,1883,1915,350,3900,233.1,1652,2248,7540,3495,1705,239,260,3156,442,164,1571,397.1,14676
2022-07-02 00:00:00,09:00:01,16871.25,2164.5,2149.5,429,4543,263.5,1960,2583,9709.5,5091,1987,273,290,4639,495,185,1858.5,454.25,17936
2022-07-02 00:00:00,10:00:01,19594.4,2481,2441,490,5175,296.4,2258,2917,11434,6315,2251,301,322,5754,550,206,2063,504.4,20775
2022-07-02 00:00:00,11:00:00,22505.49,2859,2753.5,578,5825,331.99,2566,3259,13285.5,7698,2519,337,350,6979,601,226,2281.5,535.99,23811
2022-07-02 00:00:00,12:00:00,25672.25,3222,3029,694,6478,369.5,2885,3593,15390.5,9338,2775,370,385,8461,660,247,2481.5,581.75,27106
2022-07-02 00:00:00,13:00:00,28647.13,3531,3288,784,7108,408.63,3179,3929,17374,10837,3041,402,418,9818,714,265,2683,634.13,30208
2022-07-02 00:00:00,14:00:00,31682.71,3816.5,3534.5,866,7728,449.46,3480,4248,19438,12341,3321,433,455,11209,776,287,2897,700.21,33369
2022-07-02 00:00:00,15:00:00,34747.05,4124,3758.5,981,8354,486.8,3786,4568,21509,13967,3583,466,483,12675,826,304,3085,760.05,36563
2022-07-02 00:00:00,16:00:00,37498.48,4406,3974,1081,8957,525.23,4080,4877,23325.5,15318,3841,497,515,13873,881,323,3284.5,809.98,39452
2022-07-02 00:00:00,17:00:00,40397.55,4657,4167,1176,9613,567.55,4389,5224,25254,16796,4088,529,550,15196,941,343,3478,873.55,42489
2022-07-02 00:00:00,18:00:00,43015.04,4983.5,4418.5,1280,10266,607.79,4693,5573,26839.5,17896,4352,556,579,16162,995,364,3677.5,926.04,45242
2022-07-02 00:00:00,19:00:00,46138.44,5303.5,4683,1373,10858,645.94,4943,5915,28989.5,19590,4588,586,608,17712,1047,383,3884.5,987.44,48504
2022-07-02 00:00:00,20:00:01,48674.23,5576,4881.5,1479,11504,684.98,5256,6248,30554.5,20664,4847,618,645,18634,1106,402,4102.5,1039.73,51167
2022-07-02 00:00:00,21:00:00,51560.05,5827.5,5104,1553,12175,720.3,5578,6597,32449.5,22085,5091,653,676,19900,1161,423,4322.5,1108.05,54183
2022-07-02 00:00:00,22:00:00,54622.17,6100,5324,1645,12804,768.67,5864,6939,34538,23727,5326,682,706,21394,1212,441,4522,1180.17,57382
2022-07-02 00:00:00,23:00:00,57529.08,6319.5,5528.5,1712,13505,882.58,6183,7282,36417,25048,5566,715,737,22560,1264,459,4782,1287.58,60425
2022-07-02 00:00:00,23:59:00,60315.32,6557.5,5753.5,1768,14200,1038.32,6476,7627,38145.5,26303,5805,754,767,23656,1314,476,4998.5,1412.32,63345
2022-07-03 00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-03 00:00:00,01:00:01,2949.06,243,249,46,768,182.81,329,348,1801.5,1250,282,34,31,1136,54,20,206.5,136.56,3079
2022-07-03 00:00:00,02:00:00,6042.06,528.5,472,147,1556,378.06,657,700,3704.5,2640,541,70,63,2389,108,39,417.5,253.06,6307
2022-07-03 00:00:00,03:00:00,9121.21,811,715,226,2286,588.46,919,1050,5653.5,3997,801,106,94,3682,161,58,637.5,370.71,9528
2022-07-03 00:00:00,04:00:01,12581.27,1080.5,924,321,3075,805.52,1233,1401,7939.5,5705,1105,140,124,5282,212,76,859.5,486.27,13128
2022-07-03 00:00:00,05:00:00,15386.39,1329.5,1118,412,3887,1038.39,1552,1754,9573,6756,1421,172,150,6227,260,95,1078,596.89,16068
2022-07-03 00:00:00,06:00:00,18333.57,1572.5,1290,514,4676,1275.57,1855,2097,11373.5,7999,1732,208,179,7358,310,113,1285.5,711.57,19148
2022-07-03 00:00:00,07:00:00,20839.53,1730,1449.5,566,5463,1509.53,2148,2448,12809.5,8893,2026,244,206,8138,358,132,1491.5,837.03,21790
2022-07-03 00:00:00,08:00:00,23792.48,1963,1632.5,650,6283,1748.48,2466,2799,14603,10124,2328,281,234,9259,408,151,1704,943.48,24881
2022-07-03 00:00:00,09:00:01,26853.97,2193.5,1801.5,749,7074,1989.22,2758,3136,16543,11490,2627,315,261,10516,469,181,1923,1043.47,28090
2022-07-03 00:00:00,10:00:00,29585.18,2463.5,1991,863,7868,2231.93,3043,3480,18122.5,12496,2931,355,295,11414,545,220,2153.5,1131.18,30987
2022-07-03 00:00:00,11:00:00,32781.8,2778.5,2260,953,8646,2476.3,3310,3827,20119.5,13916,3237,395,332,12722,623,257,2381.5,1237.8,34347
2022-07-03 00:00:00,12:00:00,36397,3167.5,2578,1066,9452,2730.25,3616,4167,22411.5,15624,3555,435,372,14304,705,294,2621.5,1366,38133
2022-07-03 00:00:00,13:00:00,39681.96,3483.5,2851.5,1158,10247,2975.46,3948,4471,24460,17109,3883,474,409,15635,784,331,2846,1491.46,41597
2022-07-03 00:00:00,14:00:00,42785.64,3726,3061.5,1246,11054,3209.64,4285,4787,26391.5,18470,4211,515,442,16830,857,366,3076.5,1614.14,44883
2022-07-03 00:00:00,15:00:01,45895.25,4001,3291,1343,11883,3463.75,4627,5097,28280.5,19789,4540,556,471,17979,929,404,3311.5,1730.75,48177
2022-07-03 00:00:00,16:00:00,49551.71,4257,3564,1389,12743,3717.46,4963,5441,30689.5,21631,4885,596,500,19642,1002,442,3542.5,1862.21,52022
2022-07-03 00:00:00,17:00:00,53575.73,4693.5,3928,1503,13597,3965.98,5304,5781,33302,23716,5233,634,527,21546,1071,480,3774,1983.23,56225
2022-07-03 00:00:00,18:00:00,56988.84,5059.5,4246.5,1598,14411,4208.34,5626,6116,35406,25293,5579,669,560,22950,1146,517,3995,2112.34,59810
2022-07-03 00:00:00,19:00:01,60234.91,5460,4571,1717,15131,4405.91,5896,6454,37414,26771,5896,707,592,24277,1221,555,4230,2229.91,63224
2022-07-03 00:00:00,20:00:01,63515.26,5781.5,4841,1814,15971,4666.26,6229,6791,39404,28170,6221,739,626,25563,1295,590,4463,2358.76,66675
2022-07-03 00:00:00,21:00:00,67330.02,6091,5139,1884,16827,4919.27,6565,7147,41903.5,30064,6546,775,653,27337,1363,627,4684.5,2508.52,70653
2022-07-03 00:00:00,22:00:00,70707.42,6477.5,5451,1993,17649,5178.67,6879,7494,43942.5,31580,6869,813,686,28711,1437,663,4893.5,2638.42,74177
2022-07-03 00:00:00,23:00:00,73974.76,6835,5755.5,2085,18361,5415.51,7150,7798,46007,33115,7183,847,722,30095,1514,699,5111,2771.76,77591
2022-07-03 00:00:00,23:59:00,77713.18,7213,6059,2197,19084,5666.18,7384,8137,48512.5,35081,7512,882,751,31902,1585,737,5329.5,2903.68,81475
2022-07-04 00:00:00,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-04 00:00:00,01:00:01,3328.39,376.5,290.5,118,800,258.14,302,344,2030.5,1479,334,37,29,1322,69,37,226.5,121.39,3477
2022-07-04 00:00:00,02:00:01,7019.63,754,611.5,212,1641,518.63,630,701,4368,3255,677,76,64,2958,129,58,444,256.63,7314
2022-07-04 00:00:00,03:00:00,10676.84,1151.5,945,314,2324,703.34,876,1055,6808.5,5155,987,112,98,4740,191,82,657.5,392.84,11114
2022-07-04 00:00:00,04:00:00,14259.29,1510.5,1282,381,3106,932.54,1181,1396,9117,6991,1299,150,128,6414,261,119,846,525.79,14838
2022-07-04 00:00:00,05:00:00,18206.5,1930,1658,472,3924,1181.5,1475,1773,11683,9043,1623,187,163,8284,338,158,1082,669.5,18933
2022-07-04 00:00:00,06:00:00,21712.92,2304,1954,587,4746,1436.67,1796,2127,13861.5,10710,1947,229,196,9771,412,196,1311.5,801.42,22587
2022-07-04 00:00:00,07:00:00,25060.54,2630.5,2239,670,5521,1691.54,2082,2470,15970.5,12291,2283,269,232,11175,489,234,1518.5,938.54,26081
2022-07-04 00:00:00,08:00:00,28411.33,2891.5,2431,769,6262,1935.58,2362,2790,18197.5,13981,2627,306,266,12703,562,269,1713.5,1060.33,29572
2022-07-04 00:00:00,09:00:00,31872.24,3253.5,2719,878,7082,2166.74,2680,3165,20348,15586,2989,348,296,14135,634,308,1929,1188.74,33183
2022-07-04 00:00:00,10:00:00,35467.88,3544.5,2995.5,946,7896,2388.13,3021,3521,22696.5,17371,3330,388,328,15752,706,345,2144.5,1330.88,36937
2022-07-04 00:00:00,11:00:00,39058.27,3941.5,3346.5,1035,8654,2593.77,3350,3829,25018.5,19183,3667,424,357,17406,773,380,2357.5,1444.27,40676
2022-07-04 00:00:00,12:00:00,42731.77,4359.5,3707.5,1140,9476,2819.77,3670,4196,27324,20954,4003,463,391,19006,847,417,2593,1572.27,44508
2022-07-04 00:00:00,13:00:01,46197.27,4666.5,3998.5,1205,10273,3057.77,3974,4551,29551,22551,4332,504,429,20436,927,456,2903,1706.77,48121
2022-07-04 00:00:00,14:00:00,49764.96,5016.5,4294,1301,11027,3295.71,4282,4853,31940,24399,4679,537,465,22132,1001,490,3118,1781.46,51830
2022-07-04 00:00:00,15:00:00,53585.36,5332.5,4545.5,1403,11879,3575.11,4582,5234,34403.5,26313,5019,579,506,23867,1082,527,3347.5,1970.36,55810
2022-07-04 00:00:00,16:00:00,56832.58,5588,4781.5,1476,12660,3836.83,4850,5586,36471.5,27761,5365,612,547,25179,1166,566,3610.5,2113.08,59218
2022-07-04 00:00:00,17:00:00,60429.81,5816,4993,1545,13484,4101.06,5174,5920,38873,29532,5708,646,584,26813,1241,601,3877,2256.81,62977
2022-07-04 00:00:00,18:00:01,63714.6,6061.5,5230,1607,14264,4355.85,5457,6264,40988,31138,6036,685,617,28246,1316,639,4084,2401.1,66410
2022-07-04 00:00:00,19:00:00,66924.25,6329.5,5451,1694,14894,4565.5,5701,6544,43175,32815,6326,725,649,29754,1388,676,4304,2525.75,69767
