DIA,HORA,Conversion Kg/Mj,Gas Planta (Mj),Vapor Elaboracion (Kg),Vapor Cocina (Kg),Vapor Envasado (Kg),Vapor Servicio (Kg),ET Elaboracion (Mj),ET Envasado (Mj),ET Servicios (Mj),Tot_Vapor_L3_L4,VAPOR DE LINEA 1 Y 2 KG,VAPOR DE LINEA 4 KG,Vapor_L5 (KG),Tot_Vapor_CIP_Bodega,Vapor L3
2022-07-01 00:00:00,02:00:00,2.765628057,359345.3548,55231.14,44100,63570.36,11131.14,152748.7904,175811.9712,30784.59309,55524.36,1737,20173.04,6309,11131.14,35351.32
2022-07-01 00:00:00,03:00:00,2.773895822,361969.8821,55427.87,44100,63735.78,11327.87,153751.137,176796.4138,31422.33126,55531.64,1737,20173.07,6467.14,11327.87,35358.57
2022-07-01 00:00:00,04:00:00,2.779310318,364166.7219,55612.93,44100,63901.87,11512.93,154565.5901,177603.1266,31998.00514,55539.24,1738,20173.09,6624.63,11512.93,35366.15
2022-07-01 00:00:00,05:00:01,2.782456268,366032.3168,55791.66,44100,64066.75,11691.66,155237.854,178262.9301,32531.53265,55546.83,1738,20173.1,6781.92,11691.66,35373.73
2022-07-01 00:00:00,06:00:01,2.786672271,368230.4001,55995.92,44100,64247.99,11895.92,156042.2775,179038.0922,33150.0304,55554.46,1754,20173.1,6939.53,11895.92,35381.36
2022-07-01 00:00:00,07:00:00,2.793244679,370875.1293,56221.98,44100,64431.78,12121.98,157041.7465,179973.7267,33859.65614,55562.12,1772,20173.11,7097.66,12121.98,35389.01
2022-07-01 00:00:00,08:00:00,2.798953916,373254.5835,56424.91,44100,64605.21,12324.91,157930.7228,180827.0056,34496.85511,55569.43,1780,20173.12,7255.78,12324.91,35396.31
2022-07-01 00:00:00,09:00:01,2.804655783,375629.4282,56625.73,44100,64779.21,12525.73,158815.6811,181683.386,35130.36108,55576.66,1789,20173.14,7413.55,12525.73,35403.52
2022-07-01 00:00:00,10:00:00,2.807850793,377710.5163,56832.49,44100,64954.46,12732.49,159577.1521,182382.432,35750.93215,55583.88,1800,20173.15,7570.58,12732.49,35410.73
2022-07-01 00:00:00,11:00:00,2.809828601,379626.136,57032.19,44100,65142.13,12932.19,160250.6786,183038.22,36337.23733,55591.11,1824,20173.17,7727.02,12932.19,35417.94
2022-07-01 00:00:00,12:00:00,2.822639113,383244.1925,57279.45,44100,65316.23,13179.45,161679.2159,184364.1455,37200.83106,55598.49,1832,20173.22,7885.74,13179.45,35425.27
2022-07-01 00:00:00,13:00:00,2.837135518,387135.2841,57531.86,44100,65489.15,13431.86,163225.6834,185801.5935,38108.00708,55606,1839,20173.24,8044.15,13431.86,35432.76
2022-07-01 00:00:00,14:00:00,2.860507565,392045.8631,57738.37,44100,65677.91,13638.37,165161.0441,187872.1584,39012.66055,55613.49,1869,20173.24,8195.42,13638.37,35440.25
2022-07-01 00:00:00,15:00:00,2.868185033,394692.8067,57929.04,44100,65852.57,13829.04,166151.2055,188877.3557,39664.24555,55621,1880,20173.24,8351.57,13829.04,35447.76
2022-07-01 00:00:00,16:00:00,2.874083097,397143.7627,58127.08,44100,66026.87,14027.08,167062.0581,189766.711,40314.99353,55628.48,1888,20173.25,8510.39,14027.08,35455.23
2022-07-01 00:00:00,17:00:00,2.884873855,400320.9917,58323.69,44100,66218.13,14223.69,168256.4884,191030.9519,41033.5514,55635.98,1913,20173.25,8669.15,14223.69,35462.73
2022-07-01 00:00:00,18:00:00,2.892917976,403033.9555,58507.04,44100,66403.37,14407.04,169256.0677,192099.5027,41678.38499,55643.48,1932,20173.25,8827.89,14407.04,35470.23
2022-07-01 00:00:00,19:00:00,2.91345724,407653.3261,58721.41,44100,66578,14621.41,171082.3171,193972.1562,42598.85283,55651,1949,20173.27,8978,14621.41,35477.73
2022-07-01 00:00:00,20:00:00,2.917484471,410094.5417,58945.14,44100,66774.15,14845.14,171971.5306,194812.5457,43310.46542,55658.5,1979,20173.28,9136.65,14845.14,35485.22
2022-07-01 00:00:00,21:00:00,2.926304767,413167.8671,59154.41,44100,66982.17,15054.41,173103.832,196010.2434,44053.79175,55666.03,2020,20173.28,9296.14,15054.41,35492.75
2022-07-01 00:00:00,22:00:00,2.942842127,417435.5637,59380.98,44100,67185.8,15280.98,174748.8495,197717.2026,44969.51168,55673.58,2056,20173.29,9456.22,15280.98,35500.29
