DIA,HORA,Hl de Mosto,Hl Cerveza Cocina,Hl Producido Bodega,Hl Cerveza Filtrada,Hl Cerveza Envasada,Hl Cerveza L2,Hl Cerveza L3,Hl Cerveza L4,Hl Cerveza L5
2022-07-01 00:00:00,02:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,03:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,04:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,05:00:01,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,06:00:01,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,07:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,08:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,09:00:01,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,10:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,11:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,12:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,13:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,14:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,15:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,16:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,17:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,18:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,19:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,20:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,21:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,22:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,23:00:00,3309,4334.79,6590.895,4435,8847,2205,3164,3334,144
2022-07-01 00:00:00,23:59:00,3309,4334.79,6590.895,4702,8847,2205,3164,3334,144
2022-07-02 00:00:00,00:00:00,0,0,0,0,0,0,0,0,0
2022-07-02 00:00:00,01:00:00,0,0,0,399,0,0,0,0,0
2022-07-02 00:00:00,02:00:00,0,0,0,797,0,0,0,0,0
2022-07-02 00:00:00,03:00:00,0,0,12.5,1024,25,0,0,25,0
2022-07-02 00:00:00,04:00:00,0,0,136.5,1024,273,0,24,249,0
2022-07-02 00:00:00,05:00:00,0,0,276.5,1339,553,0,251,302,0
2022-07-02 00:00:00,06:00:01,0,0,346.5,1457,693,0,391,302,0
2022-07-02 00:00:00,07:00:00,21,37.8,519.4,1468,1001,0,625,376,0
2022-07-02 00:00:00,08:00:01,85,153,786,1624,1419,0,822,597,0
2022-07-02 00:00:00,09:00:01,502,903.6,1392.8,1624,1882,0,1062,820,0
2022-07-02 00:00:00,10:00:01,733,1319.4,1809.2,1678,2299,0,1260,1039,0
2022-07-02 00:00:00,11:00:00,1144,2059.2,2415.6,2005,2772,0,1469,1303,0
2022-07-02 00:00:00,12:00:00,1721,3097.8,3173.4,2308,3249,0,1727,1522,0
2022-07-02 00:00:00,13:00:00,2115,3807,3732.5,2607,3658,0,1858,1800,0
2022-07-02 00:00:00,14:00:00,2298,4136.4,4055.2,2626,3974,0,2045,1929,0
2022-07-02 00:00:00,15:00:00,2811,5059.8,4747.4,2626,4435,0,2234,2201,0
2022-07-02 00:00:00,16:00:00,2991,5383.8,5075.4,2626,4767,0,2395,2372,0
2022-07-02 00:00:00,17:00:00,3449,6208.2,5712.6,2626,5217,0,2593,2624,0
2022-07-02 00:00:00,18:00:00,3904,7027.2,6363.1,2995,5699,0,2800,2899,0
2022-07-02 00:00:00,19:00:00,4051,7291.8,6608.4,3390,5925,0,2824,3101,0
