feature,importance
Frio (Kw),0.5383596347445703
Sala Maq (Kw),0.19615402540892693
Frio_roll_mean_7_lag1,0.12352201044147199
Envasado (Kw),0.021265728839857816
Frio_roll_mean_14_lag1,0.01727089632496015
Servicios (Kw),0.01635094234556722
EE Sala Maq / Hl,0.007710406373257195
Hl Cerveza L4,0.007343239566010698
ET Servicios / Hl,0.007258234391073839
Frio_roll_mean_28_lag1,0.007070257743123168
KW Gral Planta,0.006860472870149089
ET Bodega/Hl,0.006484201199563619
Pta Agua / Eflu (Kw),0.0063685651974475545
Agua Bodega (Hl),0.006247227854526286
Frio_roll_std_7_lag1,0.005777969214958959
Resto Serv (Kw),0.0056796447383449175
Linea 3 (Kw),0.005490232574753297
Frio_roll_std_28_lag1,0.005176643632748777
mes_cos,0.0051710090826549635
Prod Agua (Kw),0.0044386574560333104
