feature,importance
Frio (Kw),0.42380464514361765
Frio_roll_mean_7_lag1,0.1524425708430612
Sala Maq (Kw),0.10662818542876228
Envasado (Kw),0.06993999699870031
Frio_roll_mean_14_lag1,0.04088357732437963
Servicios (Kw),0.022974307624759254
Prod Agua (Kw),0.020188324178529008
KW Gral Planta,0.018691130242091753
Conversion Kg/Mj,0.016271598387988636
Linea 3 (Kw),0.01599675907239014
VAPOR DE LINEA 4 KG,0.015381317979916074
Cocina (Kw),0.014741541819314669
ET Linea 5/Hl,0.012601490165188101
Restos Planta (Kw),0.011618820893804
CO 2 / Hl,0.010803904795001686
Linea 2 (Kw),0.009751234852120474
EE Caldera / Hl,0.009657706302381322
Resto Serv (Kw),0.009375806605659951
Hl Cerveza L2,0.009223568196706226
Frio_roll_mean_3_lag1,0.009023513145627791
