n_train,n_val,n_full_train,n_test,n_features,model_name,params_json,search_space_str,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,timestamp
692,172,864,94,20,RandomForest,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 16, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": 0.8654367662002576, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 1183, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",Fixed params (baseline),3199.4034789197367,17971155.745751467,0.6299941276255567,2544.8215332433897,10311507.667967588,0.34977350955783104,2025-11-10T03:01:40.476653
692,172,864,94,20,XGBoost,"{""objective"": ""reg:squarederror"", ""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": null, ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.02, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 8, ""max_leaves"": null, ""min_child_weight"": 1.0, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 5000, ""n_jobs"": -1, ""num_parallel_tree"": null, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.8, ""tree_method"": ""hist"", ""validate_parameters"": null, ""verbosity"": null}",Fixed params; early_stopping_rounds=200,3406.0786473473836,20457802.462812047,0.5787968701508639,2800.8459559230946,12213431.400223017,0.22984136836815472,2025-11-10T03:02:07.690548
692,172,864,94,20,LightGBM,"{""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 0.8, ""importance_type"": ""split"", ""learning_rate"": 0.02, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 5000, ""n_jobs"": -1, ""num_leaves"": 127, ""objective"": null, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_for_bin"": 200000, ""subsample_freq"": 0}",Fixed params; early_stopping_rounds=200,5295.625853519688,41984733.30472822,0.1355815901547225,7706.727095887093,70984376.19562975,-3.4761564745078983,2025-11-10T03:02:07.850532
692,172,864,94,20,Ridge (Optuna),"{""alpha"": 982.1687103683643}","alpha ~ loguniform[1e-4, 1e3]; n_trials=50",8035.500829795558,109273506.83586742,-1.2498185312192978,4907.046428753148,37229755.79315158,-1.3476463606384868,2025-11-10T03:02:08.679805
692,172,864,94,20,Lasso (Optuna),"{""alpha"": 97.7083493739436}","alpha ~ loguniform[1e-4, 1e2]; n_trials=50",17277.774671953946,522655004.82561606,-9.760878362377381,9491.16483549139,164230390.05085275,-9.356094723029221,2025-11-10T03:02:09.777877
667,166,833,356,172,RandomForest,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 16, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": 0.8654367662002576, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 1183, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",Fixed params (baseline),3746.772163916326,48830053.45315594,-0.1516514114582359,2663.7777260948023,11877246.095962139,0.6640544564872541,2025-11-10T05:16:28.832287
667,166,833,356,172,XGBoost,"{""objective"": ""reg:squarederror"", ""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": null, ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.02, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 8, ""max_leaves"": null, ""min_child_weight"": 1.0, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 5000, ""n_jobs"": -1, ""num_parallel_tree"": null, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.8, ""tree_method"": ""hist"", ""validate_parameters"": null, ""verbosity"": null}",Fixed params; early_stopping_rounds=200,3922.556352362575,28350901.982599013,0.33134711155504537,2711.8800272852295,12360676.909152886,0.6503807120875833,2025-11-10T05:17:29.386050
667,166,833,356,20,RandomForest,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 16, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": 0.8654367662002576, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 1183, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",Fixed params (baseline),3821.3280267077744,49749853.46597759,-0.17334479305654926,2629.2608518883035,11754926.60965401,0.6675142388288825,2025-11-10T05:23:04.415359
667,166,833,356,20,XGBoost,"{""objective"": ""reg:squarederror"", ""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": null, ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.02, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 8, ""max_leaves"": null, ""min_child_weight"": 1.0, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 5000, ""n_jobs"": -1, ""num_parallel_tree"": null, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.8, ""tree_method"": ""hist"", ""validate_parameters"": null, ""verbosity"": null}",Fixed params; early_stopping_rounds=200,3743.1646860881024,23948432.71332335,0.43517886248128024,2968.2907342232124,14988257.27340923,0.5760601240942426,2025-11-10T05:23:23.991665
667,166,833,356,20,LightGBM,"{""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 0.8, ""importance_type"": ""split"", ""learning_rate"": 0.02, ""max_depth"": -1, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 5000, ""n_jobs"": -1, ""num_leaves"": 127, ""objective"": null, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_for_bin"": 200000, ""subsample_freq"": 0}",Fixed params; early_stopping_rounds=200,4724.31057382925,33779650.52350719,0.20331067748506237,6325.193674987938,55554591.830844484,-0.5713505804671926,2025-11-10T05:23:24.157328
